x,y,z,yaw
0.0,0.0,0.0,1.5707963267948966
0.0,0.08,0.0,1.5707963267948966
0.0,0.16,0.0,1.5707963267948966
0.0,0.24000000000000002,0.0,1.5707963267948966
0.0,0.32,0.0,1.5707963267948966
0.0,0.39999999999999997,0.0,1.5707963267948966
0.0,0.48000000000000004,0.0,1.5707963267948966
0.0,0.56,0.0,1.5707963267948966
0.0,0.64,0.0,1.5707963267948966
0.0,0.7200000000000001,0.0,1.5707963267948966
0.0,0.7999999999999999,0.0,1.5707963267948966
0.0,0.88,0.0,1.5707963267948966
0.0,0.9600000000000001,0.0,1.5707963267948966
0.0,1.04,0.0,1.5707963267948966
0.0,1.12,0.0,1.5707963267948966
0.0,1.2,0.0,1.5707963267948966
0.0,1.28,0.0,1.5707963267948966
0.0,1.36,0.0,1.5707963267948966
0.0,1.4400000000000002,0.0,1.5707963267948966
0.0,1.52,0.0,1.5707963267948966
0.0,1.5999999999999999,0.0,1.5707963267948966
0.0,1.6800000000000002,0.0,1.5707963267948966
0.0,1.76,0.0,1.5707963267948966
0.0,1.8399999999999999,0.0,1.5707963267948966
0.0,1.9200000000000002,0.0,1.5707963267948966
0.0,2.0,0.0,1.5707963267948966
0.0,2.08,0.0,1.5707963267948966
0.0,2.1599999999999997,0.0,1.5707963267948966
0.0,2.24,0.0,1.5707963267948966
0.0,2.32,0.0,1.5707963267948966
0.0,2.4,0.0,1.5707963267948966
0.0,2.48,0.0,1.5707963267948966
0.0,2.56,0.0,1.5707963267948966
0.0,2.6399999999999997,0.0,1.5707963267948966
0.0,2.72,0.0,1.5707963267948966
0.0,2.8,0.0,1.5707963267948966
0.0,2.8800000000000003,0.0,1.5707963267948966
0.0,2.96,0.0,1.5707963267948966
0.0,3.04,0.0,1.5707963267948966
0.0,3.12,0.0,1.5707963267948966
0.0,3.1999999999999997,0.0,1.5707963267948966
0.0,3.28,0.0,1.5707963267948966
0.0,3.3600000000000003,0.0,1.5707963267948966
0.0,3.4400000000000004,0.0,1.5707963267948966
0.0,3.52,0.0,1.5707963267948966
0.0,3.6,0.0,1.5707963267948966
0.0,3.6799999999999997,0.0,1.5707963267948966
0.0,3.76,0.0,1.5707963267948966
0.0,3.8400000000000003,0.0,1.5707963267948966
0.0,3.9200000000000004,0.0,1.5707963267948966
0.0,4.0,0.0,1.5707963267948966
0.0,4.08,0.0,1.5707963267948966
0.0,4.16,0.0,1.5707963267948966
0.0,4.24,0.0,1.5707963267948966
0.0,4.319999999999999,0.0,1.5707963267948966
