x,y,z,yaw
3.0,0.0,2.0,1.5707963267948966
3.0,0.08,2.0,1.5707963267948966
3.0,0.16,2.0,1.5707963267948966
3.0,0.24,2.0,1.5707963267948966
3.0,0.32,2.0,1.5707963267948966
3.0,0.4,2.0,1.5707963267948966
3.0,0.48,2.0,1.5707963267948966
3.0,0.56,2.0,1.5707963267948966
3.0,0.64,2.0,1.5707963267948966
3.0,0.7200000000000001,2.0,1.5707963267948966
3.0,0.8,2.0,1.5707963267948966
3.0,0.88,2.0,1.5707963267948966
3.0,0.96,2.0,1.5707963267948966
3.0,1.04,2.0,1.5707963267948966
3.0,1.12,2.0,1.5707963267948966
3.0,1.2000000000000002,2.0,1.5707963267948966
3.0,1.28,2.0,1.5707963267948966
3.0,1.36,2.0,1.5707963267948966
3.0,1.4400000000000002,2.0,1.5707963267948966
3.0,1.52,2.0,1.5707963267948966
3.0,1.6,2.0,1.5707963267948966
3.0,1.6800000000000002,2.0,1.5707963267948966
3.0,1.76,2.0,1.5707963267948966
3.0,1.8400000000000003,2.0,1.5707963267948966
3.0,1.92,2.0,1.5707963267948966
3.0,2.0,2.0,1.5707963267948966
3.0,2.08,2.0,1.5707963267948966
3.0,2.16,2.0,1.5707963267948966
3.0,2.24,2.0,1.5707963267948966
3.0,2.3200000000000003,2.0,1.5707963267948966
3.0,2.4000000000000004,2.0,1.5707963267948966
3.0,2.4800000000000004,2.0,1.5707963267948966
3.0,2.56,2.0,1.5707963267948966
3.0,2.64,2.0,1.5707963267948966
3.0,2.72,2.0,1.5707963267948966
3.0,2.8,2.0,1.5707963267948966
3.0,2.8800000000000003,2.0,1.5707963267948966
3.0,2.96,2.0,1.5707963267948966
3.0,3.04,2.0,1.5707963267948966
3.0,3.12,2.0,1.5707963267948966
3.0,3.2,2.0,1.5707963267948966
3.0,3.2800000000000002,2.0,1.5707963267948966
3.0,3.3600000000000003,2.0,1.5707963267948966
3.0,3.4400000000000004,2.0,1.5707963267948966
3.0,3.52,2.0,1.5707963267948966
3.0,3.6000000000000005,2.0,1.5707963267948966
3.0,3.6800000000000006,2.0,1.5707963267948966
3.0,3.7600000000000002,2.0,1.5707963267948966
3.0,3.84,2.0,1.5707963267948966
3.0,3.92,2.0,1.5707963267948966
3.0,4.0,2.0,1.5707963267948966
3.0,4.08,2.0,1.5707963267948966
3.0,4.16,2.0,1.5707963267948966
3.0,4.24,2.0,1.5707963267948966
3.0,4.32,2.0,1.5707963267948966
3.0,4.4,2.0,1.5707963267948966
3.0,4.48,2.0,1.5707963267948966
3.0,4.5600000000000005,2.0,1.5707963267948966
3.0,4.640000000000001,2.0,1.5707963267948966
3.0,4.720000000000001,2.0,1.5707963267948966
3.0,4.800000000000001,2.0,1.5707963267948966
3.0,4.88,2.0,1.5707963267948966
3.0,4.960000000000001,2.0,1.5707963267948966
3.0,5.040000000000001,2.0,1.5707963267948966
3.0,5.12,2.0,1.5707963267948966
3.0,5.2,2.0,1.5707963267948966
3.0,5.28,2.0,1.5707963267948966
3.0,5.36,2.0,1.5707963267948966
3.0,5.44,2.0,1.5707963267948966
3.0,5.5200000000000005,2.0,1.5707963267948966
3.0,5.6,2.0,1.5707963267948966
3.0,5.680000000000001,2.0,1.5707963267948966
3.0,5.760000000000001,2.0,1.5707963267948966
3.0,5.84,2.0,1.5707963267948966
3.0,5.92,2.0,1.5707963267948966
3.0,6.0,2.0,1.5707963267948966
3.0,6.08,2.0,1.5707963267948966
3.0,6.16,2.0,1.5707963267948966
3.0,6.24,2.0,1.5707963267948966
3.0,6.32,2.0,1.5707963267948966
3.0,6.4,2.0,1.5707963267948966
3.0,6.48,2.0,1.5707963267948966
3.0,6.5600000000000005,2.0,1.5707963267948966
3.0,6.64,2.0,1.5707963267948966
3.0,6.72,2.0,1.5707963267948966
